partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
FZD9_LRP6,O00755,WNT7A_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,O14904,WNT9A_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,O14905,WNT9B_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,O96014,WNT11_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P04628,WNT1_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P09544,WNT2_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P41221,WNT5A_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P56703,WNT3_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P56704,WNT3A_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P56705,WNT4_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,P56706,WNT7B_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q93097,WNT2B_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q93098,WNT8B_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q9H1J5,WNT8A_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q9H1J7,WNT5B_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q9UBV4,WNT16_HUMAN,,user_curated,PMID:24532711
FZD9_LRP6,Q9Y6F9,WNT6_HUMAN,,user_curated,PMID:24532711
FcRn_complex,P02768,,ALBU_HUMAN,user_curated,PDB:4n0;PDB:4k7
Follitropin,P23945,,FSHR_HUMAN,user_curated,reactome
GALR1,P22466,GALA_HUMAN,,user_curated,uniprot
GALR1,Q9UBC7,GALP_HUMAN,,user_curated,uniprot
GALR2,P22466,GALA_HUMAN,,user_curated,uniprot
GALR2,Q9BT56,SPXN_HUMAN,,user_curated,uniprot
GALR2,Q9UBC7,GALP_HUMAN,,user_curated,uniprot
GALR3,P22466,GALA_HUMAN,,user_curated,uniprot
GALR3,Q9BT56,SPXN_HUMAN,,user_curated,uniprot
GALR3,Q9UBC7,GALP_HUMAN,,user_curated,uniprot
GMCSFR,P04141,,CSF2_HUMAN,user_curated,PDB:4nkq
Glycoprotein_Ib_complex,P00734,,THRB_HUMAN,user_curated,PDB:1hyr_partially
Glycoprotein_Ib_complex,P04275,,VWF_HUMAN,user_curated,PDB:1m10_partially
HLAA,P43629,HLAA,KI3L1_HUMAN,user_curated,uniprot
HLAB,P43630,HLAB,KI3L2_HUMAN,user_curated,uniprot
HLAC,P43626,HLAC,KI2L1_HUMAN,user_curated,PMID:28484462
HLAC,P43628,HLAC,KI2L3_HUMAN,user_curated,PMID:28484462
Histamine_byHDC,P25021,,HRH2_HUMAN,user_curated,uniprot;reactome
Histamine_byHDC,P35367,,HRH1_HUMAN,user_curated,uniprot;reactome
Histamine_byHDC,Q9H3N8,,HRH4_HUMAN,user_curated,uniprot;reactome
Histamine_byHDC,Q9Y5N1,,HRH3_HUMAN,user_curated,uniprot;reactome
IFNA1,Type_I_IFNR,IFNA1,,user_curated,PMID:9208871
IGF1R_enhancerComGPC3,P05019,IGF1_HUMAN,,user_curated,PMID:18413366
IL10_receptor,P22301,,IL10_HUMAN,user_curated,PDB:1j7v_partially
IL11_receptor,P20809,,IL11_HUMAN,user_curated,uniprot
IL12,IL12_receptor,,,user_curated,uniprot
IL13_receptor,P05112,,IL4_HUMAN,user_curated,PDB:3bpn
IL13_receptor,P35225,,IL13_HUMAN,user_curated,3bpo;PDB
IL15_receptor,P40933,,IL15_HUMAN,user_curated,Need_expression_of_IL15RA_(Q13261)_in_other_cells._2z3q;PDB_partially
IL17_AF,IL17_receptor_AC,,,user_curated,uniprot
IL17_receptor_AB,Q9H293,,IL25_HUMAN,user_curated,NA_IL17E_called_IL25
IL17_receptor_AC,Q96PD4,,IL17F_HUMAN,user_curated,uniprot
IL17_receptor_AE,Q9P0M4,,IL17C_HUMAN,user_curated,uniprot
IL18_receptor,Q14116,,IL18_HUMAN,user_curated,3wo3;PDB_partially
IL1_receptor,P01583,,IL1A_HUMAN,user_curated,uniprot
IL1_receptor,P01584,,IL1B_HUMAN,user_curated,4dep;PDB
IL1_receptor,P18510,,IL1RA_HUMAN,user_curated,1irPDB_partially
IL1_receptor_inhibitor,P01583,,IL1A_HUMAN,user_curated,low_affinity;uniprot
IL1_receptor_inhibitor,P01584,,IL1B_HUMAN,user_curated,PDB:3o4o
IL1_receptor_inhibitor,P18510,,IL1RA_HUMAN,user_curated,low_affinity
IL20_receptor_Type_I,Q13007,,IL24_HUMAN,user_curated,uniprot
IL20_receptor_Type_I,Q9NYY1,,IL20_HUMAN,user_curated,uniprot
IL20_receptor_Type_I,Q9UHD0,,IL19_HUMAN,user_curated,uniprot
IL20_receptor_Type_II,Q13007,,IL24_HUMAN,user_curated,uniprot
IL20_receptor_Type_II,Q9NYY1,,IL20_HUMAN,user_curated,uniprot
IL21_receptor,Q9HBE4,,IL21_HUMAN,user_curated,3tgPDB:\w+_partially;uniprot
IL22_receptor,Q9GZX6,,IL22_HUMAN,user_curated,3dgPDB:$4
IL23,IL23_receptor,,,user_curated,uniprot
IL26_receptor,Q9NPH9,,IL26_HUMAN,user_curated,PMID:25421700
IL27,IL27_receptor,,,user_curated,uniprot
IL28_receptor,Q8IZI9,,IFNL3_HUMAN,user_curated,5t5w;PDB
IL2_receptor_HA,P60568,,IL2_HUMAN,user_curated,2b5i;PDB
IL2_receptor_I,P60568,,IL2_HUMAN,user_curated,3qaz;PDB
IL33_receptor,O95760,,IL33_HUMAN,user_curated,uniprot
IL35,IL35_receptor,,,user_curated,uniprot
IL36_receptor,Q8WWZ1,,IL1FA_HUMAN,user_curated,to_check
IL36_receptor,Q9NZH7,,IL36B_HUMAN,user_curated,uniprot
IL36_receptor,Q9NZH8,,IL36G_HUMAN,user_curated,uniprot
IL36_receptor,Q9UBH0,,I36RA_HUMAN,user_curated,uniprot
IL36_receptor,Q9UHA7,,IL36A_HUMAN,user_curated,uniprot
IL37_receptor,Q9NZH6,,IL37_HUMAN,user_curated,See_paper_Nold_Petry_et_al.;2015
IL3_receptor,P08700,,IL3_HUMAN,user_curated,uniprot
IL4_receptor,P05112,,IL4_HUMAN,user_curated,3qb7;PDB
IL5_receptor,P05113,,IL5_HUMAN,user_curated,3qt2;PDB_partially
IL6_receptor,P05231,,IL6_HUMAN,user_curated,1p9m;PDB
IL7_receptor,P13232,,IL7_HUMAN,user_curated,3di2;PDB_partially
IL9_receptor,P15248,,IL9_HUMAN,user_curated,uniprot
Klotho_FGFR1,Q9GZV9,FGF23_HUMAN,,user_curated,reactome;PMID:25772309
Kremen1_LRP6,O94907,DKK1_HUMAN,,user_curated,reactome;PMID:27524201;PDB:5FWW
Kremen1_LRP6,Q2MKA7,RSPO1_HUMAN,,user_curated,uniprot
Kremen2_LRP6,O94907,DKK1_HUMAN,,user_curated,reactome
Kremen2_LRP6,Q9UBU2,DKK2_HUMAN,,user_curated,reactome;PMID:12527209
LIFR,P13725,,ONCM_HUMAN,user_curated,uniprot
LIFR,P15018,,LIF_HUMAN,user_curated,1pvh;PDB_partially
LRP4_MUSK_complex,O00468,AGRIN_HUMAN,,user_curated,reactome
Ldopa_byTYR,P51810,,GP143_HUMAN,user_curated,reactome;uniprot
LeukotrieneB4_byLTA4H,Q13304,,GPR17_HUMAN,user_curated,uniprot;reactome
LeukotrieneB4_byLTA4H,Q15722,,LT4R1_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneB4_byLTA4H,Q9NPC1,,LT4R2_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneC4_byLTC4S,Q13304,,GPR17_HUMAN,user_curated,uniprot;reactome
LeukotrieneC4_byLTC4S,Q9NS75,,CLTR2_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneC4_byLTC4S,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneD4_byGGT1,Q13304,,GPR17_HUMAN,user_curated,uniprot;reactome
LeukotrieneD4_byGGT1,Q9NS75,,CLTR2_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneD4_byGGT1,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP1,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP2,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase;uniprot;reactome
LeukotrieneE4_byDPEP3,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase;uniprot;reactome
LipoxinA4_byALOX12,P25090,,FPR2_HUMAN,user_curated,HMRbase;uniprot
LipoxinA4_byALOX12,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase
LipoxinA4_byALOX5,P25090,,FPR2_HUMAN,user_curated,HMRbase;uniprot
LipoxinA4_byALOX5,Q9Y271,,CLTR1_HUMAN,user_curated,HMRbase
Lthyroxine_byTPO,P10828,,THB_HUMAN,user_curated,HMRbase;uniprot
M5A8F1,Q15758,SUPYN_HUMAN,AAAT_HUMAN,user_curated,uniprot
MIS_receptor_1,P03971,,MIS_HUMAN,user_curated,PMID:22710174
MIS_receptor_2,P03971,,MIS_HUMAN,user_curated,PMID:22710174
MIS_receptor_3,P03971,,MIS_HUMAN,user_curated,PMID:22710174
Melatonin_byASMT,P48039,,MTR1A_HUMAN,user_curated,uniprot;reactome
Melatonin_byASMT,P49286,,MTR1B_HUMAN,user_curated,uniprot;reactome
NKG2D_II_receptor,Q29980,,MICB_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q29983,,MICA_HUMAN,user_curated,1hyr;PDB_partially;Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q5VY80,,RET1L_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577._4s0u;PDB_partially
NKG2D_II_receptor,Q6H3X3,,RET1G_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q8TD07,,N2DL4_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q9BZM4,,N2DL3_HUMAN,user_curated,Induces_NK_Cell_Activation;PMID:24223577;PDB:1kcg_partially
NKG2D_II_receptor,Q9BZM5,,N2DL2_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NKG2D_II_receptor,Q9BZM6,,N2DL1_HUMAN,user_curated,Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577
NODAL_receptor_IbIIa_CFC1,Q96S42,NODAL_HUMAN,,user_curated,reactome
NODAL_receptor_IbIIa_TDGF1,Q96S42,NODAL_HUMAN,,user_curated,reactome
NODAL_receptor_IbIIb_CFC1,Q96S42,NODAL_HUMAN,,user_curated,PMID:22710174
NODAL_receptor_IbIIb_TDGF1,Q96S42,,NODAL_HUMAN,user_curated,PMID:22710174
NODAL_receptor_IcIIb_CFC1,Q96S42,NODAL_HUMAN,,user_curated,reactome;PMID:15150278
NODAL_receptor_IcIIb_TDGF1,Q96S42,NODAL_HUMAN,,user_curated,reactome;PMID:15150278
Noradrenaline_byDBH,P07550,,ADRB2_HUMAN,user_curated,HMRbase;reactome
Noradrenaline_byDBH,P08588,,ADRB1_HUMAN,user_curated,HMRbase;reactome
Noradrenaline_byDBH,P08913,,ADA2A_HUMAN,user_curated,reactome
Noradrenaline_byDBH,P13945,,ADRB3_HUMAN,user_curated,HMRbase;reactome
Noradrenaline_byDBH,P18089,,ADA2B_HUMAN,user_curated,reactome
Noradrenaline_byDBH,P18825,,ADA2C_HUMAN,user_curated,reactome
Noradrenaline_byDBH,P25100,,ADA1D_HUMAN,user_curated,HMRbase;reactome
Noradrenaline_byDBH,P35348,,ADA1A_HUMAN,user_curated,HMRbase;reactome
Noradrenaline_byDBH,P35368,,ADA1B_HUMAN,user_curated,HMRbase;reactome
O00175,P51677,CCL24_HUMAN,CCR3_HUMAN,user_curated,PMID:24218476
O00182,P07237,LEG9_HUMAN,PDIA1_HUMAN,user_curated,PMID:21670307;uniprot
O00182,Q8TDQ0,LEG9_HUMAN,HAVR2_HUMAN,user_curated,PMID:27192565;Uniprot
O00220,P50591,TR10A_HUMAN,TNF10_HUMAN,user_curated,uniprot
O00230,P30872,CORT_HUMAN,SSR1_HUMAN,user_curated,uniprot;HMRbase;reactome
O00230,P30874,CORT_HUMAN,SSR2_HUMAN,user_curated,uniprot;HMRbase;reactome
O00230,P31391,CORT_HUMAN,SSR4_HUMAN,user_curated,uniprot;HMRbase;reactome
O00230,P32745,CORT_HUMAN,SSR3_HUMAN,user_curated,uniprot;HMRbase;reactome
O00230,P35346,CORT_HUMAN,SSR5_HUMAN,user_curated,uniprot;HMRbase;reactome
O00253,P32245,AGRP_HUMAN,MC4R_HUMAN,user_curated,uniprot
O00253,P41968,AGRP_HUMAN,MC3R_HUMAN,user_curated,uniprot
O00292,P13385,LFTY2_HUMAN,TDGF1_HUMAN,user_curated,PMID:22710174
O00294,Q06418,TULP1_HUMAN,TYRO3_HUMAN,user_curated,uniprot
O00300,O14788,TR11B_HUMAN,TNF11_HUMAN,user_curated,uniprot
O00300,P50591,TR11B_HUMAN,TNF10_HUMAN,user_curated,uniprot
O00421,Q99731,CCL19_HUMAN,CCRL2_HUMAN,user_curated,uniprot
O00421,Q99969,RARR2_HUMAN,CCRL2_HUMAN,user_curated,uniprot
O00468,P13591,AGRIN_HUMAN,NCAM1_HUMAN,user_curated,reactome
O00468,Q13332,AGRIN_HUMAN,PTPRS_HUMAN,user_curated,reactome
O00548,P46531,DLL1_HUMAN,NOTC1_HUMAN,user_curated,PMID:22353464
O00548,Q04721,DLL1_HUMAN,NOTC2_HUMAN,user_curated,PMID:22353464
O00548,Q99466,DLL1_HUMAN,NOTC4_HUMAN,user_curated,PMID:22353464
O00548,Q9UM47,DLL1_HUMAN,NOTC3_HUMAN,user_curated,PMID:22353464
O00574,Q9H2A7,CXL16_HUMAN,CXCR6_HUMAN,user_curated,uniprot
O00584,Q9NR97,RNT2_HUMAN,TLR8_HUMAN,user_curated,uniprot
O00585,P32248,CCL21_HUMAN,CCR7_HUMAN,user_curated,PMID:24218476
O00585,Q9NPB9,CCL21_HUMAN,ACKR4_HUMAN,user_curated,PMID:24218476
O00590,P10147,ACKR2_HUMAN,CCL3_HUMAN,user_curated,PMID:24218476
O00590,P13236,ACKR2_HUMAN,CCL4_HUMAN,user_curated,PMID:24218476
O00590,P13500,ACKR2_HUMAN,CCL2_HUMAN,user_curated,PMID:24218476
O00590,P13501,ACKR2_HUMAN,CCL5_HUMAN,user_curated,PMID:24218476
O00590,P51671,ACKR2_HUMAN,CCL11_HUMAN,user_curated,PMID:24218476
O00590,P80075,ACKR2_HUMAN,CCL8_HUMAN,user_curated,PMID:24218476
O00590,P80098,ACKR2_HUMAN,CCL7_HUMAN,user_curated,PMID:24218476
O00590,Q16627,ACKR2_HUMAN,CCL14_HUMAN,user_curated,PMID:24218476
O00590,Q99616,ACKR2_HUMAN,CCL13_HUMAN,user_curated,PMID:24218476
O00592,P14151,PODXL_HUMAN,LYAM1_HUMAN,user_curated,PMID:22814396
O00626,P27487,CCL22_HUMAN,DPP4_HUMAN,user_curated,PMID:24218476
O00626,P51679,CCL22_HUMAN,CCR4_HUMAN,user_curated,PMID:24218476
O00755,O95813,WNT7A_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O00755,Q5T4F7,WNT7A_HUMAN,SFRP5_HUMAN,user_curated,PMID:12775774
O00755,Q6FHJ7,WNT7A_HUMAN,SFRP4_HUMAN,user_curated,PMID:12775774
O00755,Q8N474,WNT7A_HUMAN,SFRP1_HUMAN,user_curated,PMID:12775774
O00755,Q92765,WNT7A_HUMAN,SFRP3_HUMAN,user_curated,PMID:12775774
O00755,Q96HF1,WNT7A_HUMAN,SFRP2_HUMAN,user_curated,PMID:12775774
O00755,Q9Y5W5,WNT7A_HUMAN,WIF1_HUMAN,user_curated,PMID:12775774
O14511,P21860,NRG2_HUMAN,ERBB3_HUMAN,user_curated,uniprot
O14511,Q15303,NRG2_HUMAN,ERBB4_HUMAN,user_curated,uniprot
O14625,P25106,CXL11_HUMAN,ACKR3_HUMAN,user_curated,uniprot
O14625,P27487,CXL11_HUMAN,DPP4_HUMAN,user_curated,PMID:24218476
O14625,P49682,CXL11_HUMAN,CXCR3_HUMAN,user_curated,PMID:24218476
O14763,P50591,TR10B_HUMAN,TNF10_HUMAN,user_curated,uniprot
O14786,P15692,NRP1_HUMAN,VEGFA_HUMAN,user_curated,uniprot
O14786,P49763,NRP1_HUMAN,PLGF_HUMAN,user_curated,uniprot
O14786,P49765,NRP1_HUMAN,VEGFB_HUMAN,user_curated,uniprot
O14786,Q14563,NRP1_HUMAN,SEM3A_HUMAN,user_curated,uniprot
O14788,Q9Y6Q6,TNF11_HUMAN,TNR11_HUMAN,user_curated,uniprot
O14793,TGFR_AVR2A,GDF8_HUMAN,,user_curated,PMID:22710174
O14793,TGFR_AVR2B,GDF8_HUMAN,,user_curated,PMID:22710174
O14798,P50591,TR10C_HUMAN,TNF10_HUMAN,user_curated,uniprot
O14836,O75888,TR13B_HUMAN,TNF13_HUMAN,user_curated,uniprot
O14836,Q9Y275,TR13B_HUMAN,TN13B_HUMAN,user_curated,uniprot
O14904,O95813,WNT9A_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O14904,Q5T4F7,WNT9A_HUMAN,SFRP5_HUMAN,user_curated,PMID:12775774
O14904,Q6FHJ7,WNT9A_HUMAN,SFRP4_HUMAN,user_curated,PMID:12775774
O14904,Q8N474,WNT9A_HUMAN,SFRP1_HUMAN,user_curated,PMID:12775774
O14904,Q92765,WNT9A_HUMAN,SFRP3_HUMAN,user_curated,PMID:12775774
O14904,Q96HF1,WNT9A_HUMAN,SFRP2_HUMAN,user_curated,PMID:12775774
O14904,Q9Y5W5,WNT9A_HUMAN,WIF1_HUMAN,user_curated,PMID:12775774
O14905,O95813,WNT9B_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O14905,Q5T4F7,WNT9B_HUMAN,SFRP5_HUMAN,user_curated,PMID:12775774
O14905,Q6FHJ7,WNT9B_HUMAN,SFRP4_HUMAN,user_curated,PMID:12775774
O14905,Q8N474,WNT9B_HUMAN,SFRP1_HUMAN,user_curated,PMID:12775774
O14905,Q92765,WNT9B_HUMAN,SFRP3_HUMAN,user_curated,PMID:12775774
O14905,Q96HF1,WNT9B_HUMAN,SFRP2_HUMAN,user_curated,PMID:12775774
O14905,Q9Y5W5,WNT9B_HUMAN,WIF1_HUMAN,user_curated,PMID:12775774
O14931,P46379,NCTR3_HUMAN,BAG6_HUMAN,user_curated,activating_interaction_from_uniprot
O14931,Q68D85,NCTR3_HUMAN,NR3L1_HUMAN,user_curated,activating_interaction_from_uniprot
O14944,P00533,EREG_HUMAN,EGFR_HUMAN,user_curated,uniprot
O14944,Q15303,EREG_HUMAN,ERBB4_HUMAN,user_curated,uniprot
O15031,Q92854,PLXB2_HUMAN,SEM4D_HUMAN,user_curated,PMID:22325954
O15031,Q9C0C4,PLXB2_HUMAN,SEM4C_HUMAN,user_curated,uniprot
O15031,Q9NTN9,PLXB2_HUMAN,SEM4G_HUMAN,user_curated,uniprot
O15041,Q9Y4D7,SEM3E_HUMAN,PLXD1_HUMAN,user_curated,PMID:22325954
O15123,Q02763,ANGP2_HUMAN,TIE2_HUMAN,user_curated,uniprot
O15197,P52799,EPHB6_HUMAN,EFNB2_HUMAN,user_curated,PMID:15114347
O15197,P98172,EPHB6_HUMAN,EFNB1_HUMAN,user_curated,PMID:15114347
O15197,Q15768,EPHB6_HUMAN,EFNB3_HUMAN,user_curated,PMID:15114347
O15354,P07602,SAP_HUMAN,GPR37_HUMAN,user_curated,uniprot
O15444,P51686,CCL25_HUMAN,CCR9_HUMAN,user_curated,PMID:24218476
O15444,Q9NPB9,CCL25_HUMAN,ACKR4_HUMAN,user_curated,PMID:24218476
O15467,P32246,CCL16_HUMAN,CCR1_HUMAN,user_curated,PMID:24218476
O15467,P41597,CCL16_HUMAN,CCR2_HUMAN,user_curated,PMID:24218476
O15467,P51685,CCL16_HUMAN,CCR8_HUMAN,user_curated,uniprot;reactome
O15467,Q9H3N8,CCL16_HUMAN,HRH4_HUMAN,user_curated,PMID:15265943
O15520,P21802,FGF10_HUMAN,FGFR2_HUMAN,user_curated,reactome;PMID:25772309
O43157,Q92854,PLXB1_HUMAN,SEM4D_HUMAN,user_curated,PMID:22325954
O43193,P12872,MOTI_HUMAN,MTLR_HUMAN,user_curated,reactome;uniprot
O43323,PTCH_BOC_transmembrane_receptor,DHH_HUMAN,,user_curated,reactome
O43323,PTCH_CDON_transmembrane_receptor,DHH_HUMAN,,user_curated,reactome
O43323,PTCH_GAS1_transmembrane_receptor,DHH_HUMAN,,user_curated,reactome
O43323,Q96QV1,DHH_HUMAN,HHIP_HUMAN,user_curated,reactome;PMID:10050855;PMID:19561611
O43508,Q93038,TNF12_HUMAN,TNR25_HUMAN,user_curated,uniprot
O43508,Q9NP84,TNF12_HUMAN,TNR12_HUMAN,user_curated,uniprot
O43555,P30968,GON2_HUMAN,GNRHR_HUMAN,user_curated,uniprot;HMRbase;reactome
O43555,Q96P88,GON2_HUMAN,GNRR2_HUMAN,user_curated,uniprot;HMRbase;reactome
O43557,O95407,TNF14_HUMAN,TNF6B_HUMAN,user_curated,uniprot
O43557,P36941,TNF14_HUMAN,TNR3_HUMAN,user_curated,uniprot
O43557,Q92956,TNF14_HUMAN,TNR14_HUMAN,user_curated,uniprot
O43612,O43613,OREX_HUMAN,OX1R_HUMAN,user_curated,uniprot
O43612,O43614,OREX_HUMAN,OX2R_HUMAN,user_curated,uniprot
O43914,P16070,SIG15_HUMAN,TYOBP_HUMAN,user_curated,PMID:31900164
O43915,P35916,VEGFD_HUMAN,VGFR3_HUMAN,user_curated,uniprot
O43915,P35968,VEGFD_HUMAN,VGFR2_HUMAN,user_curated,uniprot
O43921,P21709,EFNA2_HUMAN,EPHA1_HUMAN,user_curated,PMID:15114347
O43921,P29317,EFNA2_HUMAN,EPHA2_HUMAN,user_curated,PMID:15114347
O43921,P29320,EFNA2_HUMAN,EPHA3_HUMAN,user_curated,PMID:15114347
O43921,P29322,EFNA2_HUMAN,EPHA8_HUMAN,user_curated,PMID:15114347
O43921,P54756,EFNA2_HUMAN,EPHA5_HUMAN,user_curated,PMID:15114347
O43921,P54764,EFNA2_HUMAN,EPHA4_HUMAN,user_curated,PMID:15114347
O43921,Q15375,EFNA2_HUMAN,EPHA7_HUMAN,user_curated,PMID:15114347
O43927,P32302,CXL13_HUMAN,CXCR5_HUMAN,user_curated,PMID:24218476
O43927,Q9NPB9,CXL13_HUMAN,ACKR4_HUMAN,user_curated,PMID:24218476
O60258,P22607,FGF17_HUMAN,FGFR3_HUMAN,user_curated,uniprot;reactome;PMID:27458533;PMID:25772309
O60383,TGFR_BMPR2,GDF9_HUMAN,,user_curated,PMID:12135884
O60462,P15692,NRP2_HUMAN,VEGFA_HUMAN,user_curated,uniprot
O60462,P49763,NRP2_HUMAN,PLGF_HUMAN,user_curated,uniprot
O60462,Q13275,NRP2_HUMAN,SEM3F_HUMAN,user_curated,uniprot
O60462,Q99985,NRP2_HUMAN,SEM3C_HUMAN,user_curated,uniprot
O60469,O95631,NET1_HUMAN,DSCAM_HUMAN,user_curated,uniprot
O60486,O75326,PLXC1_HUMAN,SEM7A_HUMAN,user_curated,PMID:22325954
O60542,RET_receptor_4,PSPN_HUMAN,,user_curated,uniprot
O60883,P07602,SAP_HUMAN,G37L1_HUMAN,user_curated,uniprot
O60896,P35318,ADML_HUMAN,RAMP3_HUMAN,user_curated,uniprot
O75093,Q9Y6N7,SLIT1_HUMAN,ROBO1_HUMAN,user_curated,uniprot;PMID:10102268
O75144,Q9Y6W8,ICOSL_HUMAN,ICOS_HUMAN,user_curated,important_for_T_follicular_helper_cells_(Tfh)_and_type_2_T_helper_cell_(Th2)_responses._Reviewed_in_PMID:23954143
O75197,O94907,DKK1_HUMAN,LRP5_HUMAN,user_curated,PMID:12775774
O75197,Q6X4U4,SOSD1_HUMAN,LRP5_HUMAN,user_curated,PMID:24532711
O75326,integrin_a1b1_complex,SEM7A_HUMAN,,user_curated,PMID:22325954
O75469,Pregnenolone_byCYP11A1,,NR1I2_HUMAN,user_curated,HMRbase;uniprot
O75473,Q2I0M5,LGR5_HUMAN,RSPO4_HUMAN,user_curated,PMID:24532711
O75473,Q2MKA7,RSPO1_HUMAN,LGR5_HUMAN,user_curated,uniprot;reactome
O75473,Q6UXX9,LGR5_HUMAN,RSPO2_HUMAN,user_curated,PMID:24532711
O75473,Q9BXY4,LGR5_HUMAN,RSPO3_HUMAN,user_curated,PMID:24532711
O75509,P05067,A4_HUMAN,TNR21_HUMAN,user_curated,uniprot
O75581,O94907,DKK1_HUMAN,LRP6_HUMAN,user_curated,PMID:12775774
O75581,Q6X4U4,SOSD1_HUMAN,LRP6_HUMAN,user_curated,PMID:24532711
O75581,Q9UBU2,DKK2_HUMAN,LRP6_HUMAN,user_curated,uniprot;PMID:30035713
O75610,P13385,LFTY1_HUMAN,TDGF1_HUMAN,user_curated,PMID:22710174
O75787,P00797,RENI_HUMAN,RENR_HUMAN,user_curated,uniprot;HMRbase;_PMID:12045255
O75888,Q02223,TNF13_HUMAN,TNR17_HUMAN,user_curated,uniprot
O94813,Q9HCK4,SLIT2_HUMAN,ROBO2_HUMAN,user_curated,uniprot;PMID:10102268
O94813,Q9Y6N7,SLIT2_HUMAN,ROBO1_HUMAN,user_curated,reactome;uniprot;PMID:10102268
O95136,Q7Z5A7,TAFA5_HUMAN,S1PR2_HUMAN,user_curated,uniprot
O95150,O95407,TNF15_HUMAN,TNF6B_HUMAN,user_curated,uniprot
O95150,Q93038,TNF15_HUMAN,TNR25_HUMAN,user_curated,reactome
O95185,O95631,NET1_HUMAN,UNC5C_HUMAN,user_curated,uniprot
O95264,SerotoninDopamin_byDDC,,5HT3B_HUMAN,user_curated,uniprot
O95390,TGFR_AVR2A,GDF11_HUMAN,,user_curated,PMID:22710174
O95390,TGFR_AVR2B,GDF11_HUMAN,,user_curated,PMID:22710174
O95399,Q9UKP6,UTS2_HUMAN,UR2R_HUMAN,user_curated,uniprot;reactome
O95407,P48023,TNF6B_HUMAN,TNFL6_HUMAN,user_curated,uniprot
O95477,P02647,APOA1_HUMAN,ABCA1_HUMAN,user_curated,reactome
O95631,P43146,NET1_HUMAN,DCC_HUMAN,user_curated,uniprot
O95631,Q6ZN44,NET1_HUMAN,UNC5A_HUMAN,user_curated,uniprot
O95631,Q8IZJ1,NET1_HUMAN,UNC5B_HUMAN,user_curated,uniprot
O95715,P61073,CXL14_HUMAN,CXCR4_HUMAN,user_curated,PMID:32212206
O95727,Q9BY67,CRTAM_HUMAN,CADM1_HUMAN,user_curated,uniprot
O95800,P13501,CCL5_HUMAN,GPR75_HUMAN,user_curated,uniprot
O95813,O96014,WNT11_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P04628,WNT1_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P09544,WNT2_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P41221,WNT5A_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P56703,WNT3_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P56704,WNT3A_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P56705,WNT4_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
O95813,P56706,WNT7B_HUMAN,CER1_HUMAN,user_curated,PMID:10067895
